,populacao,obitos,casos,obitos_relativo,casos_relativo
Almirante Tamandaré,122579,285,7667,232.5031204366164,6254.741839956273
Perobal,6052,3,447,49.570389953734306,7385.9881031064115
Marilena,7025,8,291,113.87900355871886,4142.348754448399
Tomazina,8485,4,235,47.14201532115498,2769.5934001178553
Cruz Machado,18576,13,634,69.98277347114556,3413.006029285099
São Carlos do Ivaí,6897,10,676,144.9905756125852,9801.362911410759
Ivatuba,3004,6,220,199.73368841544607,7323.568575233023
São Jerônimo da Serra,11045,17,482,153.91579900407424,4363.9655952919875
Campo Magro,30805,61,2509,198.01980198019803,8144.7816912838825
Contenda,19211,26,1507,135.3391286242257,7844.464109104159
Manfrinópolis,3190,3,152,94.04388714733543,4764.8902821316615
Lupionópolis,4854,9,259,185.4140914709518,5335.805521219612
Paranapoema,3261,3,185,91.99632014719411,5673.1064090769705
Marialva,36331,80,3611,220.19762737056507,9939.170405438881
Rio Bonito do Iguaçu,14102,5,496,35.45596369309318,3517.2315983548433
Esperança Nova,1998,7,241,350.35035035035037,12062.062062062061
Altônia,21899,14,845,63.92985981095027,3858.6236814466415
São João,10730,17,976,158.43429636533085,9095.992544268407
São Sebastião da Amoreira,8882,24,666,270.20941229452825,7498.311191173159
Iguatu,2282,5,177,219.10604732690624,7756.35407537248
Barracão,10307,24,955,232.85146017269815,9265.547686038615
Amaporã,6328,2,227,31.605562579013906,3587.2313527180786
Capanema,18899,21,1773,111.11699031694799,9381.448753902323
Ponta Grossa,356044,780,30786,219.07404702789543,8646.68411769332
Sulina,3464,5,310,144.3418013856813,8949.19168591224
Cafelândia,17229,9,1368,52.23750652968832,7940.100992512624
Jesuítas,9194,16,610,174.0265390472047,6634.761801174679
Bom Jesus do Sul,3814,3,229,78.65757734661773,6004.1950707918195
Abatiá,7486,9,519,120.22441891530858,6932.941490782795
Rio Branco do Sul,32497,107,4231,329.2611625688525,13019.663353540327
Apucarana,136234,217,6454,159.28476004521633,4737.437056828692
Lunardelli,5295,1,227,18.885741265344663,4287.063267233239
Piên,13059,10,883,76.57554177195804,6761.620338463895
Tamarana,14796,26,703,175.72316842389836,4751.284130846175
Bela Vista do Paraíso,15524,55,1572,354.29013140943056,10126.256119556816
Guapirama,3804,3,211,78.86435331230284,5546.792849631966
Turvo,13340,7,1280,52.47376311844078,9595.2023988006
Califórnia,8584,14,762,163.09412861137,8876.980428704566
Ivaí,14039,13,445,92.59918797635159,3169.741434575112
Antônio Olinto,7669,8,304,104.3160777154779,3964.0109531881603
Congonhinhas,8386,14,604,166.9449081803005,7202.480324350107
Campina Grande do Sul,44170,75,4073,169.7985057731492,9221.19085352049
Maripá,5866,6,436,102.28435049437437,7432.662802591203
Brasilândia do Sul,3188,7,309,219.57340025094103,9692.597239648683
Reserva,26529,30,1679,113.0837950921633,6328.923065324739
Santa Lúcia,3965,4,183,100.88272383354351,4615.384615384615
Nova Fátima,8117,6,284,73.91893556732784,3498.829616853517
Sabáudia,6935,13,769,187.45493871665465,11088.680605623647
Saudade do Iguaçu,5618,9,552,160.1993592025632,9825.56069775721
Rebouças,14637,10,661,68.32001093120175,4515.952722552435
Vera Cruz do Oeste,9100,20,600,219.78021978021977,6593.406593406594
Presidente Castelo Branco,5319,6,375,112.80315848843767,7050.197405527355
Boa Esperança do Iguaçu,2808,0,126,0.0,4487.179487179487
Colorado,23784,36,1715,151.3622603430878,7210.729902455432
Santa Terezinha de Itaipu,24129,65,2261,269.38538687885944,9370.467072816942
Porecatu,14663,21,868,143.21762258746506,5919.661733615222
Astorga,26024,53,2372,203.65816169689518,9114.663387642177
Corbélia,16845,25,1257,148.41199168892845,7462.154942119323
Planalto,13919,12,991,86.21309002083483,7119.764350887276
Quinta do Sol,4752,6,408,126.26262626262626,8585.858585858587
São Tomé,5801,2,343,34.476814342354764,5912.773659713843
Sertaneja,5597,11,411,196.5338574236198,7343.2195819188855
Cândido de Abreu,17171,5,648,29.118863199580687,3773.8046706656573
Xambrê,5990,5,248,83.47245409015025,4140.233722871452
São Mateus do Sul,46647,42,1739,90.03794456235127,3727.9996569983064
Munhoz de Melo,4010,6,319,149.62593516209478,7955.112219451372
Nova Esperança,27650,49,1493,177.21518987341773,5399.638336347197
Maria Helena,5994,4,361,66.7334000667334,6022.689356022689
Janiópolis,5962,8,345,134.1831600134183,5786.648775578665
Cantagalo,13238,17,893,128.41819005892128,6745.731983683336
Guaraqueçaba,8236,14,516,169.9854298203011,6265.17727051967
Nova Londrina,13201,10,747,75.75183698204681,5658.662222558897
Cerro Azul,17792,35,1003,196.71762589928056,5637.365107913669
Pontal do Paraná,26523,68,1973,256.3812540059571,7438.826678731667
União da Vitória,57280,62,3894,108.24022346368714,6798.1843575419
Ibiporã,55681,94,4586,168.81880713349258,8236.20265440635
Catanduvas,10445,15,647,143.60938247965532,6194.351364289134
Mauá da Serra,10668,14,602,131.23359580052494,5643.044619422572
Santa Izabel do Oeste,14673,23,778,156.7504941048184,5302.255844067335
Quatiguá,7407,10,584,135.00742540839747,7884.4336438504115
Cianorte,82673,118,5913,142.73100044754636,7152.274624121539
São Jorge d'Oeste,9300,17,804,182.79569892473117,8645.161290322581
Curitiba,1923186,4335,145908,225.4072149027707,7586.785677516371
Cafeara,2939,8,223,272.20142905750254,7587.614834977883
Prudentópolis,51115,30,1254,58.691186540154554,2453.29159737846
Teixeira Soares,11682,9,396,77.04160246533128,3389.830508474576
Cruzeiro do Oeste,20759,45,1792,216.77344766125535,8632.40040464377
Itaúna do Sul,3592,5,144,139.19821826280622,4008.9086859688196
Nova Olímpia,5845,4,594,68.43455945252353,10162.532078699744
Pinhalão,6251,7,315,111.98208286674132,5039.193729003359
Realeza,16671,28,1726,167.956331353848,10353.308139883631
Ibema,6348,10,318,157.5299306868305,5009.45179584121
Paraíso do Norte,13815,22,1338,159.24719507781398,9685.12486427796
Tupãssi,8248,23,716,278.85548011639185,8680.892337536372
Rio Bom,3378,6,154,177.61989342806393,4558.910597986975
Santana do Itararé,4980,11,558,220.8835341365462,11204.819277108434
Francisco Beltrão,91753,157,10735,171.11157128377275,11699.889921855416
Doutor Camargo,6015,10,468,166.25103906899417,7780.548628428927
Cruzeiro do Sul,4574,11,271,240.4897245299519,5924.792304328815
Capitão Leônidas Marques,15629,19,1080,121.56887836713801,6910.230980868898
São João do Ivaí,11871,14,649,117.93446213461377,5467.1047089545955
Tijucas do Sul,17206,62,1418,360.33941648262237,8241.31117052191
Siqueira Campos,19885,22,1807,110.63615790797083,9087.25169725924
